subject_type,page,source_url,raw_file_path,status,notes
历史类,40,https://plan.sceea.cn/img/ls/tu/ls%20(40).png,data/raw/provinces/sichuan/2026-admission-plans/history/ls_040.png,pending_review,2026 在川招生专业及名额官方图片页，非结构化表格，未导入 admission_plans。
历史类,41,https://plan.sceea.cn/img/ls/tu/ls%20(41).png,data/raw/provinces/sichuan/2026-admission-plans/history/ls_041.png,pending_review,2026 在川招生专业及名额官方图片页，非结构化表格，未导入 admission_plans。
历史类,42,https://plan.sceea.cn/img/ls/tu/ls%20(42).png,data/raw/provinces/sichuan/2026-admission-plans/history/ls_042.png,pending_review,2026 在川招生专业及名额官方图片页，非结构化表格，未导入 admission_plans。
历史类,43,https://plan.sceea.cn/img/ls/tu/ls%20(43).png,data/raw/provinces/sichuan/2026-admission-plans/history/ls_043.png,pending_review,2026 在川招生专业及名额官方图片页，非结构化表格，未导入 admission_plans。
历史类,44,https://plan.sceea.cn/img/ls/tu/ls%20(44).png,data/raw/provinces/sichuan/2026-admission-plans/history/ls_044.png,pending_review,2026 在川招生专业及名额官方图片页，非结构化表格，未导入 admission_plans。
历史类,45,https://plan.sceea.cn/img/ls/tu/ls%20(45).png,data/raw/provinces/sichuan/2026-admission-plans/history/ls_045.png,pending_review,2026 在川招生专业及名额官方图片页，非结构化表格，未导入 admission_plans。
历史类,46,https://plan.sceea.cn/img/ls/tu/ls%20(46).png,data/raw/provinces/sichuan/2026-admission-plans/history/ls_046.png,pending_review,2026 在川招生专业及名额官方图片页，非结构化表格，未导入 admission_plans。
历史类,47,https://plan.sceea.cn/img/ls/tu/ls%20(47).png,data/raw/provinces/sichuan/2026-admission-plans/history/ls_047.png,pending_review,2026 在川招生专业及名额官方图片页，非结构化表格，未导入 admission_plans。
历史类,48,https://plan.sceea.cn/img/ls/tu/ls%20(48).png,data/raw/provinces/sichuan/2026-admission-plans/history/ls_048.png,pending_review,2026 在川招生专业及名额官方图片页，非结构化表格，未导入 admission_plans。
历史类,49,https://plan.sceea.cn/img/ls/tu/ls%20(49).png,data/raw/provinces/sichuan/2026-admission-plans/history/ls_049.png,pending_review,2026 在川招生专业及名额官方图片页，非结构化表格，未导入 admission_plans。
历史类,50,https://plan.sceea.cn/img/ls/tu/ls%20(50).png,data/raw/provinces/sichuan/2026-admission-plans/history/ls_050.png,pending_review,2026 在川招生专业及名额官方图片页，非结构化表格，未导入 admission_plans。
历史类,51,https://plan.sceea.cn/img/ls/tu/ls%20(51).png,data/raw/provinces/sichuan/2026-admission-plans/history/ls_051.png,pending_review,2026 在川招生专业及名额官方图片页，非结构化表格，未导入 admission_plans。
历史类,52,https://plan.sceea.cn/img/ls/tu/ls%20(52).png,data/raw/provinces/sichuan/2026-admission-plans/history/ls_052.png,pending_review,2026 在川招生专业及名额官方图片页，非结构化表格，未导入 admission_plans。
历史类,53,https://plan.sceea.cn/img/ls/tu/ls%20(53).png,data/raw/provinces/sichuan/2026-admission-plans/history/ls_053.png,pending_review,2026 在川招生专业及名额官方图片页，非结构化表格，未导入 admission_plans。
历史类,54,https://plan.sceea.cn/img/ls/tu/ls%20(54).png,data/raw/provinces/sichuan/2026-admission-plans/history/ls_054.png,pending_review,2026 在川招生专业及名额官方图片页，非结构化表格，未导入 admission_plans。
历史类,55,https://plan.sceea.cn/img/ls/tu/ls%20(55).png,data/raw/provinces/sichuan/2026-admission-plans/history/ls_055.png,pending_review,2026 在川招生专业及名额官方图片页，非结构化表格，未导入 admission_plans。
历史类,56,https://plan.sceea.cn/img/ls/tu/ls%20(56).png,data/raw/provinces/sichuan/2026-admission-plans/history/ls_056.png,pending_review,2026 在川招生专业及名额官方图片页，非结构化表格，未导入 admission_plans。
历史类,57,https://plan.sceea.cn/img/ls/tu/ls%20(57).png,data/raw/provinces/sichuan/2026-admission-plans/history/ls_057.png,pending_review,2026 在川招生专业及名额官方图片页，非结构化表格，未导入 admission_plans。
历史类,58,https://plan.sceea.cn/img/ls/tu/ls%20(58).png,data/raw/provinces/sichuan/2026-admission-plans/history/ls_058.png,pending_review,2026 在川招生专业及名额官方图片页，非结构化表格，未导入 admission_plans。
