id,year,province,subject_type,batch_name,university_code,university_name,major_group_code,major_code,major_name,min_score,min_rank,plan_count,plan_type,source_name,source_url,source_updated_at,status,created_at,updated_at
gd-2023-物理-13721-208-2456,2023,广东,物理,普通类本科批次,13721,广东工商职业技术大学,208,,,444,227415,55,投档人数:55,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:17.038552+00:00,2026-07-02T03:57:17.038552+00:00
gd-2023-物理-13721-212-2457,2023,广东,物理,普通类本科批次,13721,广东工商职业技术大学,212,,,439,235974,220,投档人数:51,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:17.038552+00:00,2026-07-02T03:57:17.038552+00:00
gd-2023-物理-13744-203-2458,2023,广东,物理,普通类本科批次,13744,黑河学院,203,,,494,151105,3,投档人数:3,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:17.038552+00:00,2026-07-02T03:57:17.038552+00:00
gd-2023-物理-13744-204-2459,2023,广东,物理,普通类本科批次,13744,黑河学院,204,,,491,154961,8,投档人数:8,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:17.038552+00:00,2026-07-02T03:57:17.038552+00:00
gd-2023-物理-13744-205-2460,2023,广东,物理,普通类本科批次,13744,黑河学院教,205,,,494,151359,6,投档人数:6,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:17.038552+00:00,2026-07-02T03:57:17.038552+00:00
gd-2023-物理-13762-202-2461,2023,广东,物理,普通类本科批次,13762,福州外语外贸学院,202,,,478,174434,20,投档人数:20,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:17.038552+00:00,2026-07-02T03:57:17.038552+00:00
gd-2023-物理-13763-202-2462,2023,广东,物理,普通类本科批次,13763,福建江夏学院,202,,,511,125589,6,投档人数:6,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:17.038552+00:00,2026-07-02T03:57:17.038552+00:00
gd-2023-物理-13766-202-2463,2023,广东,物理,普通类本科批次,13766,泉州信息工程学院,202,,,481,169675,21,投档人数:21,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:17.038552+00:00,2026-07-02T03:57:17.038552+00:00
gd-2023-物理-13766-204-2464,2023,广东,物理,普通类本科批次,13766,泉州信息工程学院(中外合作办学),204,,,464,196543,6,投档人数:6,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:17.038552+00:00,2026-07-02T03:57:17.038552+00:00
gd-2023-物理-13774-203-2465,2023,广东,物理,普通类本科批次,13774,豫章师范学院,203,,,495,148734,4,投档人数:4,广东省教育考试院,https://eea.gd.gov.cn/news/content/post_4221647.html,2023-07-19,verified,2026-07-02T03:57:17.038552+00:00,2026-07-02T03:57:17.038552+00:00
