id,year,province,subject_type,batch_name,university_code,university_name,major_group_code,major_code,major_name,min_score,min_rank,plan_type,source_name,source_url,source_updated_at,created_at,updated_at
js-2025-physics-2240-03-1973,2025,江苏,physics,普通类本科批次平行志愿,2240,江浙江外国语学院,03,,(不限),539,,,江苏省教育考试院,https://www.jseea.cn/webfile/upload/2025/07-18/09-33-5302461102655621.pdf,2025-07-18,2026-07-01T00:00:00+09:00,2026-07-01T00:00:00+09:00
js-2025-physics-2240-04-1974,2025,江苏,physics,普通类本科批次平行志愿,2240,浙江外国语学院,04,,(不限)(中外合作办学),535,,,江苏省教育考试院,https://www.jseea.cn/webfile/upload/2025/07-18/09-33-5302461102655621.pdf,2025-07-18,2026-07-01T00:00:00+09:00,2026-07-01T00:00:00+09:00
js-2025-physics-2240-05-1975,2025,江苏,physics,普通类本科批次平行志愿,2240,浙江外国语学院,05,,(化学),556,,,江苏省教育考试院,https://www.jseea.cn/webfile/upload/2025/07-18/09-33-5302461102655621.pdf,2025-07-18,2026-07-01T00:00:00+09:00,2026-07-01T00:00:00+09:00
js-2025-physics-2241-01-1976,2025,江苏,physics,普通类本科批次平行志愿,2241,温州医科大学,01,,(化学),591,,,江苏省教育考试院,https://www.jseea.cn/webfile/upload/2025/07-18/09-33-5302461102655621.pdf,2025-07-18,2026-07-01T00:00:00+09:00,2026-07-01T00:00:00+09:00
js-2025-physics-2241-02-1977,2025,江苏,physics,普通类本科批次平行志愿,2241,温州医科大学,02,,(化学)(中外合作办学),604,,,江苏省教育考试院,https://www.jseea.cn/webfile/upload/2025/07-18/09-33-5302461102655621.pdf,2025-07-18,2026-07-01T00:00:00+09:00,2026-07-01T00:00:00+09:00
js-2025-physics-2242-01-1978,2025,江苏,physics,普通类本科批次平行志愿,2242,浙江大学医学院,01,,(化学),655,,,江苏省教育考试院,https://www.jseea.cn/webfile/upload/2025/07-18/09-33-5302461102655621.pdf,2025-07-18,2026-07-01T00:00:00+09:00,2026-07-01T00:00:00+09:00
js-2025-physics-2242-02-1979,2025,江苏,physics,普通类本科批次平行志愿,2242,浙江大学医学院,02,,(化学)(中外合作办学),646,,,江苏省教育考试院,https://www.jseea.cn/webfile/upload/2025/07-18/09-33-5302461102655621.pdf,2025-07-18,2026-07-01T00:00:00+09:00,2026-07-01T00:00:00+09:00
js-2025-physics-2245-03-1980,2025,江苏,physics,普通类本科批次平行志愿,2245,宁波诺丁汉大学,03,,(不限)(中外合作办学),583,,,江苏省教育考试院,https://www.jseea.cn/webfile/upload/2025/07-18/09-33-5302461102655621.pdf,2025-07-18,2026-07-01T00:00:00+09:00,2026-07-01T00:00:00+09:00
js-2025-physics-2245-04-1981,2025,江苏,physics,普通类本科批次平行志愿,2245,宁波诺丁汉大学,04,,(化学)(中外合作办学),589,,,江苏省教育考试院,https://www.jseea.cn/webfile/upload/2025/07-18/09-33-5302461102655621.pdf,2025-07-18,2026-07-01T00:00:00+09:00,2026-07-01T00:00:00+09:00
js-2025-physics-2248-02-1982,2025,江苏,physics,普通类本科批次平行志愿,2248,温州肯恩大学,02,,(不限)(中外合作办学),547,,,江苏省教育考试院,https://www.jseea.cn/webfile/upload/2025/07-18/09-33-5302461102655621.pdf,2025-07-18,2026-07-01T00:00:00+09:00,2026-07-01T00:00:00+09:00
